date,member,match,rule,1st_name,1st_score,2nd_name,2nd_score,3rd_name,3rd_score,4th_name,4th_score
2025/6/14,Yar,1,"5,10,5",まりお,30,わぽ,5,あろんそ,-9,れいら,-26
2025/6/14,Yar,2,"5,10,5",あろんそ,40,まりお,6,れいら,-10,わぽ,-36
2025/6/14,Yar,3,"5,10,5",まりお,51,わぽ,-6,あろんそ,-19,れいら,-26
2025/6/14,Yar,4,"5,10,5",わぽ,40,あろんそ,12,れいら,-9,まりお,-43
2025/6/14,Yar,5,"5,10,5",まりお,42,あろんそ,13,れいら,-24,わぽ,-31
2025/6/14,Yar,6,"5,10,5",あろんそ,82,まりお,14,わぽ,-18,れいら,-78
2025/6/14,Yar,7,"5,10,5",まりお,47,あろんそ,3,れいら,-10,わぽ,-40
2025/8/9,Yar,1,"5,10,5",あろんそ,46,れいら,0,あーじゅ,-19,わぽ,-27
2025/8/9,Yar,2,"5,10,5",あーじゅ,74,あろんそ,-2,わぽ,-22,れいら,-50
2025/8/9,Yar,3,"5,10,5",あーじゅ,44,あろんそ,18,わぽ,-25,れいら,-37
2025/8/9,Yar,4,"5,10,5",あろんそ,31,あーじゅ,2,れいら,-13,わぽ,-20
2025/8/9,Yar,5,"5,10,5",わぽ,53,れいら,-7,あーじゅ,-20,あろんそ,-26
2025/8/9,Yar,6,"5,10,5",わぽ,31,れいら,1,あろんそ,-9,あーじゅ,-23
2025/8/9,Yar,7,"5,10,5",わぽ,91,あろんそ,4,れいら,-42,あーじゅ,-53
2025/9/13,Yar,1,"10,30,5",あろんそ,71,れいら,9,まりお,-26,わぽ,-54
2025/9/13,Yar,2,"10,30,5",まりお,67,あろんそ,1,れいら,-23,わぽ,-45
2025/9/13,Yar,3,"10,30,5",あろんそ,86,わぽ,7,れいら,-17,まりお,-76
2025/9/13,Yar,4,"10,30,5",れいら,88,わぽ,4,まりお,-25,あろんそ,-67
2025/9/13,Yar,5,"10,30,5",あろんそ,69,わぽ,19,まりお,-25,れいら,-63
2025/10/5,Yar,1,"10,30,5",あろんそ,72,れいら,7,まりお,-19,わぽ,-60
2025/10/5,Yar,2,"10,30,5",まりお,68,あろんそ,3,れいら,-27,わぽ,-44
2025/10/5,Yar,3,"10,30,5",わぽ,63,れいら,17,あろんそ,-28,まりお,-52
2025/10/5,Yar,4,"10,30,5",わぽ,97,まりお,12,れいら,-39,あろんそ,-70
2025/10/5,Yar,5,"10,30,5",わぽ,83,あろんそ,5,れいら,-21,まりお,-67
2025/10/5,Yar,6,"10,30,5",あろんそ,72,まりお,29,わぽ,-39,れいら,-62
2025/10/5,Yar,7,"10,30,5",れいら,60,まりお,11,わぽ,-22,あろんそ,-49
2025/10/5,Yar,8,"10,30,5",あろんそ,64,れいら,-6,わぽ,-16,まりお,-42
2025/10/5,Yar,9,"10,30,5",れいら,66,まりお,15,わぽ,-22,あろんそ,-59
2025/11/1,Yar,1,"10,30,5",あろんそ,59,わぽ,10,れいら,-19,まりお,-50
2025/11/1,Yar,2,"10,30,5",れいら,70,まりお,15,わぽ,-9,あろんそ,-76
2025/11/1,Yar,3,"10,30,5",わぽ,78,まりお,1,れいら,-19,あろんそ,-60
2025/11/1,Yar,4,"10,30,5",わぽ,57,まりお,9,あろんそ,-12,れいら,-54
2025/11/1,Yar,5,"10,30,5",れいら,53,まりお,7,あろんそ,-19,わぽ,-41
2025/11/1,Yar,6,"10,30,5",あろんそ,56,わぽ,16,れいら,-25,まりお,-47
2025/11/1,Yar,7,"10,30,5",わぽ,61,あろんそ,9,あーじゅ,-22,れいら,-48
2025/11/1,Yar,8,"10,30,5",れいら,78,わぽ,13,あーじゅ,-28,あろんそ,-63
2025/11/1,Yar,9,"10,30,5",あーじゅ,77,わぽ,13,れいら,-31,あろんそ,-59
2025/11/1,Yar,10,"10,30,5",あろんそ,68,わぽ,7,れいら,-20,あーじゅ,-55
2025/12/12,Yar,1,"10,30,5",あろんそ,53,あーじゅ,9,れいら,-21,まりお,-41
2025/12/12,Yar,2,"10,30,5",まりお,65,ちょろQ,9,あろんそ,-24,れいら,-50
2025/12/12,Yar,3,"10,30,5",ちょろQ,86,あろんそ,9,あーじゅ,-24,れいら,-71
2025/12/14,Yar,1,"10,30,5",あーじゅ,65,あろんそ,6,まりお,-17,れいら,-54
2025/12/14,Yar,2,"10,30,5",あろんそ,66,あーじゅ,18,れいら,-31,まりお,-53
2025/12/14,Yar,3,"10,30,5",あーじゅ,59,あろんそ,6,れいら,-22,まりお,-43
2025/12/14,Yar,4,"10,30,5",まりお,64,れいら,18,あろんそ,-31,あーじゅ,-51
2025/12/14,Yar,5,"10,30,5",あろんそ,60,Kane,10,れいら,-22,あーじゅ,-48
2025/12/14,Yar,6,"10,30,5",あーじゅ,64,まりお,7,あろんそ,-15,Kane,-56
2025/12/14,Yar,7,"10,30,5",れいら,78,あろんそ,2,まりお,-23,Kane,-57
2025/12/14,Yar,8,"10,30,5",あろんそ,92,Kane,19,まりお,-38,れいら,-73
2026/1/11,Yar,1,"10,30,5",あろんそ,94,まりお,4,あーじゅ,-25,れいら,-73
2026/1/11,Yar,2,"10,30,5",あーじゅ,72,まりお,16,れいら,-32,わぽ,-56
2026/1/11,Yar,3,"10,30,5",あろんそ,63,あーじゅ,9,わぽ,-13,まりお,-59
2026/1/11,Yar,4,"10,30,5",わぽ,66,れいら,5,あろんそ,-18,ちょろQ,-53
2026/1/11,Yar,5,"10,30,5",あろんそ,57,あーじゅ,11,まりお,-17,れいら,-51
2026/1/11,Yar,6,"10,30,5",あろんそ,52,れいら,10,わぽ,-11,ちょろQ,-51
2026/1/11,Yar,7,"10,30,5",ちょろQ,100,まりお,-2,あーじゅ,-30,わぽ,-68
2026/2/1,Yar,1,"10,30,5",あーじゅ,53,あろんそ,6,わぽ,-19,れいら,-40
2026/2/1,Yar,2,"10,30,5",ちょろQ,81,まりお,19,れいら,-20,わぽ,-80
2026/2/1,Yar,3,"10,30,5",ちょろQ,58,まりお,7,あろんそ,-18,あーじゅ,-47
2026/2/1,Yar,4,"10,30,5",まりお,58,あろんそ,9,わぽ,-18,あーじゅ,-49
2026/2/1,Yar,5,"10,30,5",れいら,62,わぽ,2,ちょろQ,-21,あーじゅ,-43
2026/2/1,Yar,6,"10,30,5",ちょろQ,70,れいら,1,あろんそ,-20,まりお,-51
2026/2/1,Yar,7,"10,30,5",れいら,83,あろんそ,11,わぽ,-36,まりお,-58
2026/2/1,Yar,8,"10,30,5",わぽ,62,れいら,12,まりお,-23,ちょろQ,-51
2026/2/1,Yar,9,"10,30,5",あろんそ,60,わぽ,17,れいら,-24,ちょろQ,-53
2026/2/1,Yar,10,"10,30,5",ちょろQ,74,わぽ,6,あろんそ,-27,れいら,-53
2026/2/6,Yar,1,"10,30,5",わぽ,52,ちょろQ,10,まりお,-20,あろんそ,-42
2026/2/6,Yar,2,"10,30,5",あろんそ,71,まりお,15,わぽ,-30,ちょろQ,-56
2026/2/6,Yar,3,"10,30,5",わぽ,81,まりお,14,あろんそ,-20,ちょろQ,-75
2026/2/6,Yar,4,"10,30,5",わぽ,96,ちょろQ,23,あろんそ,-47,まりお,-72
2026/2/6,Yar,5,"10,30,5",あろんそ,74,ちょろQ,8,わぽ,-29,まりお,-53
2026/2/6,Yar,6,"10,30,5",ちょろQ,61,わぽ,13,あろんそ,-25,まりお,-49
2026/2/6,Yar,7,"10,30,5",わぽ,59,まりお,13,あろんそ,-12,ちょろQ,-60
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
